repo_user_name,repo_name,repo_url,repo_rating
mrdoob,three.js,https://github.com/mrdoob/three.js,88.2k
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,21k
libgdx,libgdx,https://github.com/libgdx/libgdx,21k
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,19.2k
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,15.7k
aframevr,aframe,https://github.com/aframevr/aframe,15k
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,14.3k
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,12.9k
CesiumGS,cesium,https://github.com/CesiumGS/cesium,9.8k
metafizzy,zdog,https://github.com/metafizzy/zdog,9.5k
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,8.6k
isl-org,Open3D,https://github.com/isl-org/Open3D,7.9k
blender,blender,https://github.com/blender/blender,7.5k
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7.3k
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,5.9k
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,5.6k
openscad,openscad,https://github.com/openscad/openscad,5.3k
google,model-viewer,https://github.com/google/model-viewer,5.2k
spritejs,spritejs,https://github.com/spritejs/spritejs,5.1k
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4.8k
