repo_user_name,repo_name,repo_url,repo_rating
public-apis,public-apis,https://github.com/public-apis/public-apis,225k
neovim,neovim,https://github.com/neovim/neovim,61.3k
tiangolo,fastapi,https://github.com/tiangolo/fastapi,53.4k
strapi,strapi,https://github.com/strapi/strapi,51.2k
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,49.3k
ocornut,imgui,https://github.com/ocornut/imgui,44.6k
slatedocs,slate,https://github.com/slatedocs/slate,34.8k
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,31.9k
hasura,graphql-engine,https://github.com/hasura/graphql-engine,29k
ccxt,ccxt,https://github.com/ccxt/ccxt,26.9k
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,26.7k
Kong,insomnia,https://github.com/Kong/insomnia,26k
httpie,httpie,https://github.com/httpie/httpie,25.8k
YMFE,yapi,https://github.com/YMFE/yapi,25.6k
encode,django-rest-framework,https://github.com/encode/django-rest-framework,24.8k
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,22.7k
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,21k
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20.6k
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,20.5k
PostgREST,postgrest,https://github.com/PostgREST/postgrest,19.9k
