repo_user_name,repo_name,repo_url,repo_rating
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,244k
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,161k
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,159k
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,151k
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,84.9k
kdn251,interviews,https://github.com/kdn251/interviews,59k
azl397985856,leetcode,https://github.com/azl397985856/leetcode,50.2k
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,49.7k
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,42k
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,34.6k
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,28.9k
huihut,interview,https://github.com/huihut/interview,27.1k
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26.9k
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,26.7k
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,24.4k
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,22.8k
keon,algorithms,https://github.com/keon/algorithms,22k
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,20.7k
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,20.5k
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,17.3k
