repo_user_name,repo_name,repo_url,repo_rating
amphp,amp,https://github.com/amphp/amp,3.8k
danog,MadelineProto,https://github.com/danog/MadelineProto,2.2k
amphp,http-server,https://github.com/amphp/http-server,1.2k
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,745
amphp,http-client,https://github.com/amphp/http-client,641
amphp,parallel,https://github.com/amphp/parallel,625
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,336
amphp,byte-stream,https://github.com/amphp/byte-stream,320
amphp,mysql,https://github.com/amphp/mysql,302
amphp,parallel-functions,https://github.com/amphp/parallel-functions,238
amphp,process,https://github.com/amphp/process,206
amphp,socket,https://github.com/amphp/socket,179
amphp,redis,https://github.com/amphp/redis,135
amphp,sync,https://github.com/amphp/sync,131
amphp,dns,https://github.com/amphp/dns,131
kelunik,acme,https://github.com/kelunik/acme,118
amphp,websocket-client,https://github.com/amphp/websocket-client,113
amphp,serialization,https://github.com/amphp/serialization,94
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,92
amphp,websocket-server,https://github.com/amphp/websocket-server,90
