repo_user_name,repo_name,repo_url,repo_rating
flutter,flutter,https://github.com/flutter/flutter,148k
facebook,react-native,https://github.com/facebook/react-native,107k
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,98.7k
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,75.4k
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,60.2k
google,material-design-icons,https://github.com/google/material-design-icons,47.1k
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,45.1k
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,44.8k
square,okhttp,https://github.com/square/okhttp,43.4k
android,architecture-samples,https://github.com/android/architecture-samples,42.1k
square,retrofit,https://github.com/square/retrofit,41k
dcloudio,uni-app,https://github.com/dcloudio/uni-app,37.6k
fastlane,fastlane,https://github.com/fastlane/fastlane,36.3k
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,36k
laurent22,joplin,https://github.com/laurent22/joplin,34k
airbnb,lottie-android,https://github.com/airbnb/lottie-android,33.5k
bumptech,glide,https://github.com/bumptech/glide,33.3k
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,33.2k
skylot,jadx,https://github.com/skylot/jadx,32.9k
xitu,gold-miner,https://github.com/xitu/gold-miner,31.8k
