repo_user_name,repo_name,repo_url,repo_rating
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,98.7k
angular,angular,https://github.com/angular/angular,85.8k
storybookjs,storybook,https://github.com/storybookjs/storybook,76k
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,54.2k
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,48.5k
prettier,prettier,https://github.com/prettier/prettier,44.6k
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,32.1k
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,31.9k
angular,angular-cli,https://github.com/angular/angular-cli,25.9k
angular,components,https://github.com/angular/components,23.3k
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,22.1k
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,20.2k
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,20k
pubkey,rxdb,https://github.com/pubkey/rxdb,18.6k
teambit,bit,https://github.com/teambit/bit,16.2k
nrwl,nx,https://github.com/nrwl/nx,16.1k
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,15.4k
wailsapp,wails,https://github.com/wailsapp/wails,13.6k
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,13.6k
linnovate,mean,https://github.com/linnovate/mean,12.2k
