repo_user_name,repo_name,repo_url,repo_rating
ansible,ansible,https://github.com/ansible/ansible,56k
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,35.4k
trailofbits,algo,https://github.com/trailofbits/algo,26.7k
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22.9k
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,21k
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13.4k
ansible,awx,https://github.com/ansible/awx,11.8k
easzlab,kubeasz,https://github.com/easzlab/kubeasz,8.8k
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,6.6k
khuedoan,homelab,https://github.com/khuedoan/homelab,6.5k
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,6.1k
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,5.6k
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,5.1k
rundeck,rundeck,https://github.com/rundeck/rundeck,4.8k
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4.6k
clong,DetectionLab,https://github.com/clong/DetectionLab,4k
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,3.8k
ansible-community,molecule,https://github.com/ansible-community/molecule,3.5k
litmuschaos,litmus,https://github.com/litmuschaos/litmus,3.5k
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3.3k
