repo_user_name,repo_name,repo_url,repo_rating
arendst,Tasmota,https://github.com/arendst/Tasmota,19.1k
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,14.3k
arduino,Arduino,https://github.com/arduino/Arduino,13.3k
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12.9k
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,12.1k
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,11.2k
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,10k
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,8.1k
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8.1k
platformio,platformio-core,https://github.com/platformio/platformio-core,6.5k
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6k
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5.6k
hybridgroup,cylon,https://github.com/hybridgroup/cylon,4k
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3.8k
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3.7k
olikraus,u8g2,https://github.com/olikraus/u8g2,3.6k
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3.6k
NerdLang,nerd,https://github.com/NerdLang/nerd,3.4k
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,3.4k
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,3k
