repo_user_name,repo_name,repo_url,repo_rating
sindresorhus,awesome,https://github.com/sindresorhus/awesome,234k
vinta,awesome-python,https://github.com/vinta/awesome-python,153k
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,115k
avelino,awesome-go,https://github.com/avelino/awesome-go,94.5k
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,86.8k
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,68.2k
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,63.5k
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,60.2k
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,56.8k
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,52.6k
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,48.9k
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,47.3k
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,45.1k
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,44.9k
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,44.8k
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,43.1k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,43k
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,41.6k
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,39k
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,36.5k
