repo_user_name,repo_name,repo_url,repo_rating
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,35.4k
microsoft,recommenders,https://github.com/microsoft/recommenders,14.8k
pulumi,pulumi,https://github.com/pulumi/pulumi,14.7k
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13.5k
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,12.5k
mozilla,sops,https://github.com/mozilla/sops,11.8k
caprover,caprover,https://github.com/caprover/caprover,9.8k
google,go-cloud,https://github.com/google/go-cloud,8.8k
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8.8k
infracost,infracost,https://github.com/infracost/infracost,8.5k
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,7.5k
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7k
node-formidable,formidable,https://github.com/node-formidable/formidable,6.5k
midwayjs,midway,https://github.com/midwayjs/midway,6.3k
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5.7k
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,5.5k
budtmo,docker-android,https://github.com/budtmo/docker-android,5.3k
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,5.1k
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,5k
turbot,steampipe,https://github.com/turbot/steampipe,4.6k
