repo_user_name,repo_name,repo_url,repo_rating
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,125k
nvm-sh,nvm,https://github.com/nvm-sh/nvm,63.9k
junegunn,fzf,https://github.com/junegunn/fzf,49.2k
google,zx,https://github.com/google/zx,35.8k
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,32.8k
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,32k
starship,starship,https://github.com/starship/starship,31.8k
koalaman,shellcheck,https://github.com/koalaman/shellcheck,31.1k
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,30k
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,28.6k
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,26.2k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,22.5k
withfig,autocomplete,https://github.com/withfig/autocomplete,21.1k
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,17k
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,16.4k
rbenv,rbenv,https://github.com/rbenv/rbenv,14.7k
shelljs,shelljs,https://github.com/shelljs/shelljs,13.7k
powerline,powerline,https://github.com/powerline/powerline,13.6k
faressoft,terminalizer,https://github.com/faressoft/terminalizer,13.5k
Bash-it,bash-it,https://github.com/Bash-it/bash-it,13.3k
