repo_user_name,repo_name,repo_url,repo_rating
ccxt,ccxt,https://github.com/ccxt/ccxt,26.9k
discordjs,discord.js,https://github.com/discordjs/discord.js,21.6k
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,20.7k
hubotio,hubot,https://github.com/hubotio/hubot,16.4k
RasaHQ,rasa,https://github.com/RasaHQ/rasa,15.3k
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,15k
wechaty,wechaty,https://github.com/wechaty/wechaty,14.5k
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,12.8k
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,12.3k
Rapptz,discord.py,https://github.com/Rapptz/discord.py,12.1k
leon-ai,leon,https://github.com/leon-ai/leon,11.7k
howdyai,botkit,https://github.com/howdyai/botkit,11k
botpress,botpress,https://github.com/botpress/botpress,10k
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9.3k
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,8.5k
microsoft,ailab,https://github.com/microsoft/ailab,7.2k
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,7k
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6.9k
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,6.8k
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,6.7k
