repo_user_name,repo_name,repo_url,repo_rating
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,161k
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,86.3k
azl397985856,leetcode,https://github.com/azl397985856/leetcode,50.2k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,43k
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,39.7k
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,34.6k
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,29.3k
huihut,interview,https://github.com/huihut/interview,27.1k
microsoft,calculator,https://github.com/microsoft/calculator,26.5k
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,25.7k
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,23.4k
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,22.8k
doocs,leetcode,https://github.com/doocs/leetcode,19.9k
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,19.6k
ethereum,solidity,https://github.com/ethereum/solidity,19.2k
microsoft,vcpkg,https://github.com/microsoft/vcpkg,17.6k
gabime,spdlog,https://github.com/gabime/spdlog,16.6k
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,16.6k
catchorg,Catch2,https://github.com/catchorg/Catch2,16k
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,15.7k
