repo_user_name,repo_name,repo_url,repo_rating
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,75.4k
neovim,neovim,https://github.com/neovim/neovim,61.3k
git,git,https://github.com/git/git,44.8k
obsproject,obs-studio,https://github.com/obsproject/obs-studio,44.8k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,43k
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,33.7k
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,33.6k
vim,vim,https://github.com/vim/vim,29.3k
curl,curl,https://github.com/curl/curl,28.2k
huihut,interview,https://github.com/huihut/interview,27.1k
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24.5k
pbatard,rufus,https://github.com/pbatard/rufus,21.4k
mpv-player,mpv,https://github.com/mpv-player/mpv,21.1k
ossrs,srs,https://github.com/ossrs/srs,20.5k
ruby,ruby,https://github.com/ruby/ruby,19.8k
google,flatbuffers,https://github.com/google/flatbuffers,19.7k
oracle,graal,https://github.com/oracle/graal,18.1k
microsoft,vcpkg,https://github.com/microsoft/vcpkg,17.6k
radareorg,radare2,https://github.com/radareorg/radare2,17.4k
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,17.4k
