repo_user_name,repo_name,repo_url,repo_rating
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,32.6k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,22.5k
refined-github,refined-github,https://github.com/refined-github/refined-github,20k
darkreader,darkreader,https://github.com/darkreader/darkreader,15.8k
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14.7k
unbug,codelf,https://github.com/unbug/codelf,13.4k
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,10.6k
dailydotdev,daily,https://github.com/dailydotdev/daily,10.3k
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10.2k
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9.9k
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,9.5k
wong2,chat-gpt-google-extension,https://github.com/wong2/chat-gpt-google-extension,8.5k
appbaseio,dejavu,https://github.com/appbaseio/dejavu,8k
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,7.9k
Kenshin,simpread,https://github.com/Kenshin/simpread,6.6k
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,6.2k
AutomaApp,automa,https://github.com/AutomaApp/automa,6.2k
alyssaxuu,omni,https://github.com/alyssaxuu/omni,5.9k
dessant,buster,https://github.com/dessant/buster,5.5k
manojVivek,medium-unlimited,https://github.com/manojVivek/medium-unlimited,5.1k
