repo_user_name,repo_name,repo_url,repo_rating
electron,electron,https://github.com/electron/electron,105k
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,81.5k
microsoft,playwright,https://github.com/microsoft/playwright,46.6k
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,39.2k
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,32.6k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,22.5k
ovity,octotree,https://github.com/ovity/octotree,22.3k
segmentio,nightmare,https://github.com/segmentio/nightmare,19.3k
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14.7k
google,WebFundamentals,https://github.com/google/WebFundamentals,13.7k
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13.2k
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,11.4k
casesandberg,react-color,https://github.com/casesandberg/react-color,11.2k
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10.2k
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9.9k
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,9.3k
chromedp,chromedp,https://github.com/chromedp/chromedp,8.5k
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8.1k
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,6.8k
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6.8k
