repo_user_name,repo_name,repo_url,repo_rating
realm,SwiftLint,https://github.com/realm/SwiftLint,16.9k
facebook,infer,https://github.com/facebook/infer,13.8k
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,10.7k
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,8.5k
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,7.5k
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,7.4k
facebook,pyre-check,https://github.com/facebook/pyre-check,6.2k
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,5.9k
detekt,detekt,https://github.com/detekt/detekt,5.1k
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4.5k
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,4.5k
PyCQA,pylint,https://github.com/PyCQA/pylint,4.4k
pmd,pmd,https://github.com/pmd/pmd,4.1k
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,3.9k
phpro,grumphp,https://github.com/phpro/grumphp,3.9k
kucherenko,jscpd,https://github.com/kucherenko/jscpd,2.9k
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2.9k
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2.4k
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,2.1k
uber,piranha,https://github.com/uber/piranha,2k
