repo_user_name,repo_name,repo_url,repo_rating
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,154k
junegunn,fzf,https://github.com/junegunn/fzf,49.2k
sharkdp,bat,https://github.com/sharkdp/bat,39k
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,38.6k
google,zx,https://github.com/google/zx,35.8k
wagoodman,dive,https://github.com/wagoodman/dive,35.3k
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,35.2k
chubin,cheat.sh,https://github.com/chubin/cheat.sh,34.4k
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,32k
cli,cli,https://github.com/cli/cli,31k
spf13,cobra,https://github.com/spf13/cobra,30.3k
n8n-io,n8n,https://github.com/n8n-io/n8n,27.6k
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,26.2k
sharkdp,fd,https://github.com/sharkdp/fd,26k
angular,angular-cli,https://github.com/angular/angular-cli,25.9k
httpie,httpie,https://github.com/httpie/httpie,25.8k
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,25.2k
tqdm,tqdm,https://github.com/tqdm/tqdm,23.7k
google,python-fire,https://github.com/google/python-fire,23.7k
vercel,pkg,https://github.com/vercel/pkg,22.6k
