repo_user_name,repo_name,repo_url,repo_rating
vercel,next.js,https://github.com/vercel/next.js,99.1k
rust-lang,rust,https://github.com/rust-lang/rust,76.5k
sveltejs,svelte,https://github.com/sveltejs/svelte,64.7k
webpack,webpack,https://github.com/webpack/webpack,62.3k
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,54k
JetBrains,kotlin,https://github.com/JetBrains/kotlin,43.6k
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,41.8k
babel,babel,https://github.com/babel/babel,41.8k
evanw,esbuild,https://github.com/evanw/esbuild,34.3k
vlang,v,https://github.com/vlang/v,31.2k
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,29.3k
markedjs,marked,https://github.com/markedjs/marked,28.9k
swc-project,swc,https://github.com/swc-project/swc,25.6k
vercel,pkg,https://github.com/vercel/pkg,22.6k
v8,v8,https://github.com/v8/v8,20.7k
ziglang,zig,https://github.com/ziglang/zig,19.3k
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,15k
nim-lang,Nim,https://github.com/nim-lang/Nim,14.4k
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13.5k
RustPython,RustPython,https://github.com/RustPython/RustPython,13.3k
