,company name,job title,location,salary
0,T-Mobile,Principal Data Scientist,"Atlanta, GA 30346","$144,200 - $195,200 a yearFull-time +1"
1,Finastra,Data Scientist,"Atlanta, GA",Estimated $105K - $132K a yearFull-time
2,C3 AI,Data Scientist / Senior Data Scientist,"Atlanta, GA",Estimated $141K - $179K a year
3,"PRGX Global, Inc",Data Scientist (1:2),"Atlanta, GA 30339",Estimated $96.9K - $123K a yearFull-time
4,Deloitte,Data Science Consultant - Technology Strategy,"Atlanta, GA 30303 (Downtown area)+3 locations",Estimated $99.1K - $125K a yearFull-time
5,Home Depot / THD,"Senior Data Analyst, Supply Chain (Remote)","Remote in Atlanta, GA 30301+7 locations","$130,000 a year"
6,Deloitte,Strategic Analytics Lead Data Scientist,"Atlanta, GA 30303 (Downtown area)",Estimated $98.2K - $124K a yearFull-time
7,Centers for Disease Control and Prevention,Statistician (Health) (Direct Hire),"Atlanta, GA 30333","$87,466 - $113,706 a yearFull-time"
8,Qverge,Data Scientists,"Alpharetta, GA 30022",Estimated $124K - $157K a yearFull-time
9,CoStar Group,Commercial Real Estate Data Scientist,"Hybrid remote in Atlanta, GA 30326",Full-time
10,Pluto7,Software Engineer - Data Engineer,"Atlanta, GA",Estimated $104K - $132K a yearFull-time
11,"JPMorgan Chase Bank, N.A.",Product Manager - Data Science -Vice President,"Atlanta, GA","$123,500 - $180,000 a yearFull-time"
12,Truist Financial,Retail Decision Scientist 2 or 3,"Atlanta, GA 30309 (Midtown area)",Full-time
13,Atlanta Regional Commission,"Data Analyst, Senior","Atlanta, GA 30303 (Downtown area)","$57,058 - $96,997 a yearFull-time"
14,VMware,"Data Scientist - Opportunity for Working Remotely Atlanta, GA","Remote in Atlanta, GA 30328",Estimated $106K - $135K a yearFull-time
