,company name,job title,location,salary
0,ANALYTOS,Data Scientist,"Austin, TX",Estimated $104K - $132K a year
1,VMware,"Data Scientist - Opportunity for Working Remotely Austin, TX","Remote in Austin, TX",Estimated $103K - $131K a yearFull-time
2,Samsung Austin Semiconductor,Data Scientist 71427,"Austin, TX 78754",Estimated $108K - $136K a yearMonday to Friday
3,Travis County,Data Analyst/Scientist,"Austin, TX",Part-time
4,Tesla,Sr Data Analyst,"Austin, TX",Estimated $89.2K - $113K a yearFull-time
5,Whole Foods Market,Principal Data Scientist,"Austin, TX 78703 (Downtown area)",Estimated $139K - $176K a year
6,State Street,Data Scientist and Cognitive Software Engineer - officer,"Austin, TX","$65,000 - $102,500 a yearFull-time"
7,EY,"Data Analyst, Tech. Consulting - Data and Ana. - Advanced Analytics - Manager - Mult. Pos. - 1393424","Austin, TX 78701 (Downtown area)","$176,225 a yearFull-timeMonday to Friday"
8,Fidelity Investments,"Principal Data Scientist (Remote) - Austin, TX area ONLY","Remote in Austin, TX 78701",Estimated $136K - $172K a year
9,NXP Semiconductors,Machine Learning Software Engineer (Entry Level),"Austin, TX 78735 (West Oak Hill area)+1 location",Estimated $83.6K - $106K a yearFull-time
10,"Signature Science, LLC",Bioinformatics Data Scientist,"Austin, TX 78759 (North Shoal Creek area)+2 locations",Full-time
11,Deloitte,Data Scientist Manager,"Austin, TX+3 locations",Estimated $171K - $217K a yearFull-time
12,Pearson,Assistant Statistical Analyst (Remote),"Remote in Austin, TX 78703","$53,000 - $55,000 a yearFull-time"
13,"Lutron Electronics Co., Inc",Lead Data Scientist,"Austin, TX 78741 (Riverside area)",Full-time
14,Modern Intelligence,Machine Learning Research Assistant,"Remote in Austin, TX+1 location","$7,000 a monthFull-time +2"
