,company name,job title,location,salary
0,University of Colorado Boulder,Research Associate: Beckman Center for Advanced Light Sheet Microscopy and Data Science,"Boulder, CO 80309 (Colorado University area)+3 locations","$60,000 - $65,000 a yearFull-time"
1,University of Colorado Boulder,Postdoc in Educational Data Mining/Learning Analytics,"Boulder, CO 80309 (Colorado University area)","$70,000 - $100,000 a yearFull-time +1"
2,Tavant Technologies,Data Engineering Analyst - Media Sales,"Denver, CO",Estimated $103K - $131K a year
3,University of Colorado,Senior Data Analyst and Assessment System Manager,"Denver, CO 80217 (Central Business District area)","$77,500 - $84,500 a yearFull-time"
4,Boston Consulting Group,Forward-Deployed Data Engineer,"Denver, CO 80202 (Union Station area)+2 locations",Estimated $137K - $173K a year
5,Base-2 Solutions,Data Scientist Level 2,"Aurora, CO",Full-time
6,"Medpace, Inc.",Statistical Analyst I,"Hybrid remote in Denver, CO 80202+1 location","$65,000 - $145,000 a yearFull-time"
7,Comcast,Sr. Revenue Assurance Data Analyst - HYBRID,"Centennial, CO 80112","$72,805 - $109,207 a yearWeekend availability +1"
8,Uber,Staff Machine Learning Engineer,"Boulder, CO","$186,000 a yearFull-time"
9,PRICE WATERHOUSE COOPERS,Risk Modeling Services P&C - Manager,"Hybrid remote in Denver, CO 80202",Estimated $126K - $160K a year
10,ICR inc.,Bayesian Statistician (Data Scientist),"Aurora, CO 80016",Estimated $107K - $135K a year
11,KPMG,"Senior Associate, Data Analyst","Denver, CO 80202 (Capitol Hill area)+1 location",Estimated $78.1K - $98.9K a year
12,US Bureau of Labor Statistics,Economist / Statistician (Economics),"Denver, CO","$47,369 - $70,067 a yearFull-time +1"
13,Credera,Machine Learning Architect - Data Science,"Denver, CO","$130,000 - $160,000 a year"
14,PRICE WATERHOUSE COOPERS,Products & Solutions - Data Science Lead - Sr Manager,"Remote in Denver, CO 80202",Estimated $170K - $215K a year
