,company name,job title,location,salary
0,UTHealth Houston,"Data Scientist I/II - Ob/Gyn, Maternal Fetal Medicine","Houston, TX 77030 (Medical Center area)",Estimated $68.5K - $86.7K a yearFull-timeMonday to Friday
1,"Page Southerland Page, Inc.",Data Analyst / Data Scientist,"Houston, TX 77002 (Downtown area)",Estimated $75.9K - $96.1K a yearFull-time
2,Deloitte,Senior Data Scientist - S&A Strategy,"Houston, TX 77002 (Downtown area)",Estimated $117K - $149K a yearFull-time
3,Fidelity Investments,"Principal Data Scientist (Remote) - Houston, TX area ONLY","Remote in Houston, TX 77027",Estimated $129K - $163K a year
4,Patterson-UTI,Senior Data Scientist,"Houston, TX 77064",Estimated $101K - $128K a yearFull-time
5,Lonza,Senior Data Scientist,"Houston, TX",Estimated $85.7K - $109K a year
6,Deloitte,Data Scientist Manager,"Houston, TX 77002 (Downtown area)+3 locations",Estimated $168K - $213K a yearFull-time
7,Deloitte,Alliances Marketing Specialist - Analytics & AI Alliances (Analyst) - National_Office,"Houston, TX 77002 (Downtown area)",Estimated $73K - $92.4K a yearFull-time
8,KPMG,"Senior Associate, Data Analyst","Houston, TX 77002 (Downtown area)",Estimated $77.2K - $97.7K a year
9,Harris County,Sr. Data Analyst,"Houston, TX 77002 (Downtown area)",Estimated $60.2K - $76.3K a yearFull-timeMonday to Friday +1
10,Houston Methodist,Senior IT Data Analyst,"Houston, TX 77054 (Astrodome area)",Estimated $73K - $92.4K a yearFull-timeDay shift +1
11,Labcorp,Certifying Scientist - Data Review - Toxicology,"Houston, TX 77030",Full-timeOvertime
12,Love's Travel Stops & Country Stores,Senior Data Analyst,"Houston, TX 77019 (Montrose area)",Estimated $75.5K - $95.6K a year
13,Wesco,Director - Data Science (Remote),"Remote in Houston, TX 77040",Estimated $143K - $181K a yearFull-time
14,U.S. Bank National Association,Senior Data Analyst,"Houston, TX 77079 (West Houston area)",Estimated $89.5K - $113K a yearFull-time
