,company name,job title,location,salary
0,"Sony Pictures Entertainment, Inc.","Data Scientist, Marketing Analytics & Insights","Culver City, CA","$115,000 - $155,000 a yearFull-time"
1,Los Angeles County Department of Human Resources,DATA SCIENTIST SUPERVISOR,"Los Angeles County, CA","$118,234 - $159,337 a yearFull-timeWeekend availability +2"
2,AE Studio,Data Scientist,"Remote in Los Angeles, CA",Estimated $91.9K - $116K a yearFull-time
3,Kaiser Permanente,Data Scientist III Advanced Analytics,"Pasadena, CA+1 location",Estimated $92.5K - $117K a yearFull-timeDay shift
4,FLYR Labs,Data Scientist,"Los Angeles, CA",Estimated $96.8K - $123K a yearFull-time
5,L.A. Care Health Plan,Data Scientist II,"Los Angeles, CA 90017 (Westlake area)","$117,509 a yearFull-time"
6,CEDARS-SINAI,Research Associate Data Scientist - Urbanowicz Lab - Computational Biomedicinenew,"Los Angeles, CA+3 locations",Estimated $78.3K - $99.2K a yearFull-timeDay shift +1
7,HopSkipDrive,Sr. Data Analystnew,"Remote in Los Angeles, CA 90007",Estimated $82.8K - $105K a year
8,Geologics Corporation,Senior Data Scientist,"Pasadena, CA 91101 (Pasadena area)",Estimated $125K - $158K a yearContract
9,JPL/NASA,Data Scientist II,"Pasadena, CA 91109+1 location",Estimated $99K - $125K a yearFull-time
10,Slalom Consulting,Senior Data Scientistnew,"Los Angeles, CA","$105,000 - $186,000 a year"
11,Craft.co,Principal Data Scientist,"Hybrid remote in Los Angeles, CA 90035","$186,000 a yearFull-time"
12,Deloitte,Data Science Consultant - Technology Strategynew,"Los Angeles, CA 90013 (Downtown area)+3 locations",Estimated $95.4K - $121K a yearFull-time
13,BCG Digital Ventures,Senior Data Scientist - Intelligent Sensors Venture,"Manhattan Beach, CA 90266",Estimated $120K - $151K a yearFull-time
14,USC,Data Scientist,"Los Angeles, CA","$83,840 - $113,087 a year"
