,company name,job title,location,salary
0,Cloud to Street,Climate Data Scientist,"Brooklyn, NY",Estimated $122K - $155K a year
1,Code Climate,Data Scientist,"New York, NY","$115,000 - $185,000 a year"
2,The Jed Foundation,Data Scientist,"Remote in New York, NY 10001","$100,000 - $115,000 a yearFull-time"
3,Retia Medical,Biomedical Data Scientist,"White Plains, NY 10604",Estimated $171K - $216K a year
4,January Technologies,Data Scientist,"Hybrid remote in New York, NY",Estimated $140K - $178K a yearFull-time
5,Bloomberg,Applied Machine Learning Scientist - Data Technologies,"New York, NY 10261","$160,000 - $250,000 a year"
6,Dow Jones,Data Scientist (Acquisition),"New York, NY 10176 (Murray Hill area)","$50,000 - $180,000 a year"
7,The Bank of New York Mellon Corporation,"Principal, Data Scientist","New York, NY","$108,000 - $208,000 a year"
8,Etsy,Staff Applied Scientist I,"Brooklyn, NY 11201","$196,000 - $230,000 a yearFull-time"
9,Via,"Data Scientist, Transportation Systems","New York, NY","$125,000 - $165,000 a yearFull-time"
10,Amex,Data Scientist - Global Decision Science,"New York, NY","$90,000 - $165,000 a year"
11,MIRROR,Data Scientist,"New York, NY 10018 (Garment District area)",Estimated $124K - $157K a year
12,Booz Allen Hamilton,Data Analyst,"Remote in Rome, NY 13441",$19 - $26 an hourInternship
13,WarnerMedia,Customer Sr Data Scientist,"New York, NY","$117,600 - $218,400 a yearFull-time"
14,Rockstar Games New York & New England,Lead Data Scientist: Game Analytics,"Hybrid remote in New York, NY",Estimated $134K - $170K a yearFull-time
