,company name,job title,location,salary
0,DICK'S Sporting Goods,"Director, Data Science","Remote in Coraopolis, PA 15108","$127,000 - $237,800 a year"
1,The Bank of New York Mellon Corporation,Counsel- Legal Data Management,"Pittsburgh, PA",Estimated $118K - $149K a year
2,Bechtel Plant Machinery Inc,Data Science Engineer,"Monroeville, PA 15146",Estimated $85.4K - $108K a yearFull-timeHolidays
3,Performance Review Institute,Senior Data Analyst,"Hybrid remote in Warrendale, PA 15086",Estimated $97.4K - $123K a year
4,U.S. Bank National Association,Senior Data Analyst,"Pittsburgh, PA 15219 (Middle Hill area)",Estimated $86.5K - $110K a yearFull-time
5,Carnegie Mellon University,Machine Learning Research Scientist - Pittsburgh Supercomputing Center (PSC),"Pittsburgh, PA 15213 (Squirrel Hill North area)",Full-time
6,Carnegie Mellon University,Data Engineer - National Robotics Engineering Center,"Pittsburgh, PA 15213 (Squirrel Hill North area)",Estimated $72.7K - $92.1K a yearFull-time +1
7,Maronda Inc. and Subsidiaries,Data Science Manager,"Imperial, PA 15126",Estimated $96.1K - $122K a yearFull-time
8,PNC Financial Services Group,Data Analyst Sr,"Pittsburgh, PA 15222 (Strip District area)",Estimated $78.5K - $99.4K a year
9,Carnegie Mellon University,Postdoctoral Research Associate - Machine Learning Department - School of Computer Science,"Pittsburgh, PA 15213 (Squirrel Hill North area)",Full-time
10,Deloitte,Data Engineering Manager - S&A Strategynew,"Pittsburgh, PA 15222 (Central Business District area)",Estimated $166K - $210K a yearFull-time
11,Carnegie Mellon University,Data Pipeline Developer - School of Computer Science,"Pittsburgh, PA 15213 (Squirrel Hill North area)",Estimated $60.2K - $76.3K a yearFull-time
12,Meta,"Visiting Researcher, AI Mentorship Program, CMU (University Grad)","Pittsburgh, PA",Estimated $120K - $152K a yearContract
13,EQT Corporation,Data Analyst III/Sr (Remote),"Remote in Pittsburgh, PA 15222",Estimated $83.7K - $106K a year
14,Thermo Fisher Scientific,Senior Data Analyst - AIG (Nucleus)new,"Pittsburgh, PA",Estimated $85.8K - $109K a yearFull-time
