,company name,job title,location,salary
0,Faire,Senior Data Scientist - Search & Recommendation,"Remote in San Francisco, CA","$156,000 - $214,500 a year"
1,Airwallex,Senior Data Scientist,"San Francisco, CA",Estimated $140K - $177K a yearFull-time
2,Discord,"Senior Data Scientist, Analytics - Marketing","Hybrid remote in San Francisco, CA 94107","$175,000 a year"
3,WarnerMedia,Senior Data Scientist,"San Francisco, CA","$117,600 - $218,400 a yearFull-time"
4,Goodreads LLC,Data Scientist II - AMZ6082577,"San Francisco, CA 94105 (Financial District/South Beach area)",Estimated $93.4K - $118K a yearFull-time
5,Verkada,Data Scientist,"San Mateo, CA 94401 (Downtown area)+1 location",Estimated $126K - $159K a yearFull-time
6,Kai Ming Head Start,Data Scientist,"San Francisco, CA 94133 (Chinatown area)",Estimated $121K - $153K a yearFull-time
7,Scribd,Senior Data Scientist,"Remote in San Francisco, CA 94107","$153,500 - $194,000 a yearFull-time"
8,Visa,Senior Data Scientist,"Foster City, CA",Estimated $108K - $137K a yearFull-time
9,University of California San Francisco,Research Data Analyst (AI exp),"San Francisco, CA 94143 (Inner Sunset area)+1 location",Full-time +1Day shift +1
10,SentiLink,"Data Scientist, Sales Support (Remote, US-based)","Remote in San Francisco, CA 94103","$110,000 - $140,000 a yearFull-time"
11,Abbott Laboratories,Senior Data Scientist,"Alameda, CA","$104,300 - $208,500 a yearFull-time"
12,Surya Systems,Data Scientist,"Temporarily Remote in San Francisco, CA",$80 an hourContract
13,CALICO,"Data Scientist, Genomics","South San Francisco, CA 94080+2 locations","$110,000 - $138,000 a yearFull-time"
14,Kaiser Permanente,Data Scientist III Data Science,"Oakland, CA",Estimated $98.5K - $125K a yearFull-timeDay shift
