,company name,job title,location,salary
0,Planet Technologies,Data Scientist,"Washington, DC",Estimated $97.4K - $123K a yearFull-time
1,Kearney & Company,Data Scientistnew,"Arlington, VA",Estimated $96.7K - $122K a year
2,Nextonic Solutions LLC,Data Scientistnew,"Rockville, MD",Estimated $97.9K - $124K a yearFull-time
3,US National Telecommunications and Information...,Data Scientist,"Reston, VA 20192 (Hattontown area)","$106,823 - $164,102 a year"
4,US Consumer Product Safety Commission,STATISTICIAN (Data Scientist)new,"Bethesda, MD","$74,950 - $138,868 a yearFull-timeMonday to Friday"
5,George Washington University,"Data Research Scientist, Center for Population Health Sciences and Health Equitynew","Foggy Bottom, DC","$83,915 - $122,505 a yearFull-timeMonday to Friday"
6,Steampunk,Senior Data Scientist (Data Analytics)new,"Remote in McLean, VA 22102",Estimated $122K - $155K a year
7,Absolute Business Solutions Corp,Data Scientist,"Springfield, VA 22152",Estimated $143K - $181K a year
8,Public Health Institute,Senior Data Scientist,"Washington, DC","$126,100 - $189,020 a yearFull-time"
9,Emprata,Data Scientist,"Washington, DC",Estimated $137K - $173K a year
10,Logistics Management Institute,Data Scientist,"Remote in Tysons, VA",Estimated $110K - $139K a yearFull-time
11,Improvix Technologies,Data Scientist (Remote),"Remote in Reston, VA 20190",Estimated $121K - $153K a yearFull-time
12,Abt Associates,Data Scientist,"Hybrid remote in Rockville, MD 20852","$105,120 - $168,192 a yearFull-time"
13,The Swift Group,Data Scientist,"Chantilly, VA",Estimated $105K - $133K a yearFull-time
14,QVine Corporation,Data Scientist,"Washington, DC",Estimated $98.2K - $124K a year
